metname,inchikey
g3p,LXJXRIRHZLFYRP-VKHMYHEASA-L
g3pc,SUHOQUVVVLNYQR-MRVPVSSYSA-N
g3pe,JZNWSCPGTDBMEW-YFKPBYRVSA-N
g3pg,LLCSXHMJULHSJN-UHFFFAOYSA-M
g3ps,ZWZWYGMENQVNFU-UHNVWZDZSA-M
g6p,NBSCHQHZLSJFNQ-GASJEMHNSA-L
g6p_B,NBSCHQHZLSJFNQ-VFUOTHLCSA-L
gal,WQZGKKKJIJFFOK-PHYPRBDBSA-N
gal1p,HXXFSFRBOHSIMQ-FPRJBGLDSA-L
galt,FBPFZTCFMRRESA-GUCUJZIJSA-N
galt1p,GACTWZZMVMUKNG-DPYQTVNSSA-L
gam,MSWZFWKMSRAUBD-IVMDWMLBSA-O
gam1p,YMJBYRVFGYXULK-QZABAPFNSA-M
gam6p,XHMJOUIAFHJHBW-IVMDWMLBSA-M
gar,OBQMLSFOUZUIOB-HJZCUYRDSA-M
gcald,WGCNASOHLSPBMP-UHFFFAOYSA-N
gdp,QGWNDRXFNXRZMB-UUOKFMHZSA-K
gdpddman,PNHLMHWWFOPQLK-BKUUWRAGSA-L
gdpfuc,LQEBEXMHBLQMDB-JGQUBWHWSA-L
gdpmann,MVMSCBBUIHUTGJ-GDJBGNAASA-L
gdptp,KCPMACXZAITQAX-UUOKFMHZSA-H
glc__D,WQZGKKKJIJFFOK-GASJEMHNSA-N
gln__L,ZDXPYRJPNDTMRX-VKHMYHEASA-N
glu__D,WHUUTDBJXJRKMK-GSVOUGTGSA-M
glu__L,WHUUTDBJXJRKMK-VKHMYHEASA-M
glu1sa,MPUUQNGXJSEWTF-BYPYZUCNSA-N
glu5p,PJRXVIJAERNUIP-VKHMYHEASA-L
glu5sa,KABXUUFDPUOJMW-BYPYZUCNSA-N
glutcoa,SYKWLIJQEHRDNH-CKRMAKSASA-I
glutrna,NA
glx,HHLFWLYXYJOTON-UHFFFAOYSA-M
gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N
glyald,MNQZXJOMYWMBOU-VKHMYHEASA-N
glyc,PEDCQBHIVMGVHV-UHFFFAOYSA-N
glyc__R,RBNPOMFGQQGHHO-UWTATZPHSA-M
glyc3p,AWUCVROLDVIAJX-GSVOUGTGSA-L
glyclt,AEMRFAOFKBGASW-UHFFFAOYSA-M
glycogen,NA
gmp,RQFCJASXJCIDSX-UUOKFMHZSA-L
grdp,GVVPGTZRZFNKDS-JXMROGBWSA-K
gsn,NYHBQMYGNKIUIF-UUOKFMHZSA-N
gthox,YPZRWBKMTBYPTK-BJDJZHNGSA-L
gthrd,RWSXRVCMGQZWBV-WDSKDSINSA-M
gtp,XKMLYUALXHKNFT-UUOKFMHZSA-J
gua,UYTPUPDQBNUYGX-UHFFFAOYSA-N
h,GPRLSGONYQIRFK-UHFFFAOYSA-N
h2,UFHFLCQGNIYNRP-UHFFFAOYSA-N
h2co3,NA
h2mb4p,MDSIZRKJVDMQOQ-GORDUTHDSA-K
h2o,XLYOFNOQVPJJNP-UHFFFAOYSA-N
h2o2,MHAJPDPJQMAIIY-UHFFFAOYSA-N
h2s,RWSOTUBLDIXVET-UHFFFAOYSA-M
ham,AVXURJPOCDRRFD-UHFFFAOYSA-N
hcit,NA
hcys__L,FFFHZYDWPBMWHY-UHFFFAOYSA-N
hdca,IPCSVZSSVZVIGE-UHFFFAOYSA-M
hdcea,NA
hdd2coa,JUPAQFRKPHPXLD-MSHHSVQMSA-J
hdeACP,NA
hepdp,LSJLEXWXRKTZAJ-YUIIPXGZSA-K
hexACP,NA
hg2,BQPIGGFYSBELGY-UHFFFAOYSA-N
his__L,HNDVDQJCIGZPNO-YFKPBYRVSA-N
hisp,CWNDERHTHMWBSI-YFKPBYRVSA-M
histd,ZQISRDCJNBUVMM-YFKPBYRVSA-O
hmbil,WDFJYRZCZIUBPR-UHFFFAOYSA-F
hmgth,PIUSLWSYOYFRFR-BQBZGAKWSA-M
hom__L,UKAUYVFTDYCKQA-VKHMYHEASA-N
hpglu,RXWVHRYZTWZATH-XSLAGTTESA-J
hqn,QIGBRXMKCJKVMJ-UHFFFAOYSA-N
hx2coa,OINXHIBNZUUIMR-IXUYQXAASA-J
hxan,FDGQSTZJBFJUBT-UHFFFAOYSA-N
hxcoa,NA
iasp,NMUOATVLLQEYHI-UHFFFAOYSA-M
ichor,NTGWPRCCOQCMGE-YUMQZZPRSA-L
icit,ODBLHEXUDAPZAU-UHFFFAOYSA-K
idp,JPXZQMKKFWMMGK-KQYNXXCUSA-K
ile__L,AGPKZVBTJJNPAG-WHFBIAKZSA-N
im4ac,PRJKNHOMHKJCEJ-UHFFFAOYSA-M
im4act,MQSRGWNVEZRLDK-UHFFFAOYSA-N
imacp,YCFFMSOLUMRAMD-UHFFFAOYSA-L
imp,GRSZFWQUAKGDAV-KQYNXXCUSA-L
indole,SIKJAQJRHWYJAI-UHFFFAOYSA-N
inost,CDAISMWEOUEBRE-GPIVLXJGSA-N
ins,UGQMRVRMYYASKQ-KQYNXXCUSA-N
ipdp,NUHSROFQTUXZQQ-UHFFFAOYSA-K
isomal,DLRVVLDZNNYCBX-RTPHMHGBSA-N
itp,HAEJPQIATWHALX-KQYNXXCUSA-J
k,NPYPAHLBTDXSSS-UHFFFAOYSA-N
L_alagly,CXISPYVYMQWFLE-VKHMYHEASA-N
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M
LalaDgluMdap,NA
LalaDgluMdapDala,BAPAFFOXTCMVCC-UHFFFAOYSA-M
lcts,GUBGYTABKSRVRQ-QKKXKWKRSA-N
leu__L,ROHFNLRQFUQHCH-YFKPBYRVSA-N
lgt__S,VDYDCVUWILIYQF-CSMHCCOUSA-M
lys__L,KDXKERNSBIXSRK-YFKPBYRVSA-O
mal__L,BJEPYKJPYRNKOW-REOHCLBHSA-L
malACP,NA
malcoa,LTYOQGRJFJAKNA-DVVLENMVSA-I
malt,GUBGYTABKSRVRQ-PICCSMPSSA-N
malt6p,ITPHOIFCAFNCLL-ASMJPISFSA-L
malthp,ZHZITDGOAFCURV-VVTKTIMZSA-N
malthx,OCIBBXPLUVYKCH-QXVNYKTNSA-N
maltpt,FTNIPWXXIGNQQF-DWTFCAFKSA-N
malttr,FYGDTMLNYKFZSV-PXXRMHSHSA-N
maltttr,LUEWUZLMQUOBSB-ZLBHSGTGSA-N
man,WQZGKKKJIJFFOK-QTVWNMPRSA-N
man1p,HXXFSFRBOHSIMQ-RWOPYEJCSA-L
man6p,NBSCHQHZLSJFNQ-QTVWNMPRSA-L
meoh,OKKJLVBELUTLKV-UHFFFAOYSA-N
mercppyr,OJOLFAIGOXZBCI-UHFFFAOYSA-M
met__D,FFEARJCKVFRZRR-SCSAIBSYSA-N
met__L,FFEARJCKVFRZRR-BYPYZUCNSA-N
methf,MEANFMOQMXYMCT-OLZOCXBDSA-M
metox__R,NA
metsox_S__L,QEFRNWWLZKMPFJ-YGVKFDHGSA-N
mg2,JLVVSXFLKOJNIY-UHFFFAOYSA-N
mlthf,QYNUQALWYRSVHF-OLZOCXBDSA-L
mn2,WAEMQWOKJMHJLA-UHFFFAOYSA-N
mnl,FBPFZTCFMRRESA-KVTDHHQDSA-N
mnt,FZWBNHMXJMCXLU-YRBKNLIBSA-N
mobd,MEFBJEMVZONFCJ-UHFFFAOYSA-N
mql8,OIEZRVBFVPGODT-WQWYCSGDSA-N
mqn8,LXKDFTDVRVLXFY-WQWYCSGDSA-N
mthgxl,AIJULSRZWUXGPQ-UHFFFAOYSA-N
murein4p4p,VTZDBMVDVOTCFD-UHFFFAOYSA-G
murein4px4p,NA
murein4px4p4p,NPJMJVATSCHTAI-UHFFFAOYSA-F
murein4px4px4p,NA
murein5p4p,YJNGRCZHKAYCMA-VZNOAHCOSA-E
murein5px4p,NQXCJQVWBSGGNW-UHFFFAOYSA-E
myrsACP,NA
n2,IJGRMHOSHXDMSA-UHFFFAOYSA-N
n6all26d,KYVLWJXMCBZDRL-BQBZGAKWSA-M
na1,FKNQFGJONOIPTF-UHFFFAOYSA-N
nac,PVNIIMVLHYAWGP-UHFFFAOYSA-M
nad,BAWFJGJZGIEFAR-NNYOXOHSSA-M
nadh,BOPGDPNILDQYTO-NNYOXOHSSA-L
nadp,XJLXINKUBYWONI-NNYOXOHSSA-K
nadph,ACFIXJIJDZMPPO-NNYOXOHSSA-J
ncam,DFPAKSUCGFBDDF-UHFFFAOYSA-N
nh3,QGZKDVFQNNGYKY-UHFFFAOYSA-O
nicrns,PUEDDPCUCPRQNY-ZYUZMQFOSA-N
nicrnt,JOUIQRNQJGXQDC-ZYUZMQFOSA-L
nmn,DAYLJWODMCOQEW-TURQNECASA-M
no2,IOVCWXUNBOPUCH-UHFFFAOYSA-M
o16a2und,JLHGQTKMJCQGJD-CEOXHMAOSA-L
o16a3und,MAEXVFVVTLQJBE-BYBSPDODSA-K
o16aund,NYDKXESIKHJNQU-FIYHCCFRSA-L
o2,MYMOFIZGZYHOMD-UHFFFAOYSA-N
o2s,OUUQCZGPVNCOIJ-UHFFFAOYSA-M
oaa,KHPXUQMNIQBQEV-UHFFFAOYSA-L
oc2coa,CPSDNAXXKWVYIY-NTLMCJQISA-J
ocACP,NA
occoa,KQMZYOXOBSXMII-CECATXLMSA-J
ocdcaACP,NA
octa,WWZKQHOCKIZLMA-UHFFFAOYSA-M
octdp,IKKLDISSULFFQO-DJMILUHSSA-K
octeACP,NA
ohpb,MZJFVXDTNBHTKZ-UWTATZPHSA-K
orn,AHLPHDHHMVZTML-BYPYZUCNSA-O
orot,PXQPEWDEAKTCGB-UHFFFAOYSA-M
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K
oxa,MUBZPKHOEPUJKR-UHFFFAOYSA-L
oxadpcoa,VKKKAAPGXHWXOO-BIEWRJSYSA-I
pa120,NA
pa140,OZSITQMWYBNPMW-GDLZYMKVSA-L
pa141,NA
pa160,PORPENFLTBBHSG-MGBGTMOVSA-L
pa161,NA
pa180,YFWHNAWEOZTIPI-DIPNUNPCSA-L
pa181,NA
palmACP,NA
palmACP,NA
pan4p,JDMUPRLRUUMCTL-VIFPVBQESA-L
pant__R,OTOIIPJYVQJATP-BYPYZUCNSA-M
pap,WHTCPDAXWFLDIH-KQYNXXCUSA-J
paps,GACDQMDRPRGCTN-KQYNXXCUSA-J
pdx5p,WHOMFKWHIQZTHY-UHFFFAOYSA-L
pe180,LVNGJLRDBYCPGB-LDLOPFEMSA-N
pep,DTBNBXWJWCWCIK-UHFFFAOYSA-K
pg180,FVJZSBGHRPJMMA-IOLBBIBUSA-M
pgp120,NA
pgp140,NA
pgp141,NA
pgp160,ONJBJMDJKLHMEK-MPQUPPDSSA-K
pgp161,PTJJTQQVMKSSOK-WXUKJITCSA-K
pgp180,UZNYMWWMHBZMLI-IOLBBIBUSA-K
pgp181,NA
phe__L,COLNVLDHVKWLRT-QMMMGPOBSA-N
pheme,KABFMIBPWCXCRK-RGGAHWMASA-J
phom,FXDNYOANAXWZHG-VKHMYHEASA-L
phpyr,BTNMPGBKDVTSJY-UHFFFAOYSA-M
phthr,FKHAKIJOKDGEII-GBXIJSLDSA-L
pi,NBIIXXVUZAFLBC-UHFFFAOYSA-L
pmtcoa,MNBKLUUYKPBKDU-BBECNAHFSA-J
pnto__R,GHOKWGTUZJEAQD-ZETCQYMHSA-M
ppal,NBBJYMSMWIIQGU-UHFFFAOYSA-N
ppap,FMNMEQSRDWIBFO-UHFFFAOYSA-L
ppbng,QSHWIQZFGQKFMA-UHFFFAOYSA-M
ppcoa,QAQREVBBADEHPA-IEXPHMLFSA-J
ppgpp,BUFLLCUFNHESEH-UUOKFMHZSA-I
pphn,FPWMCUPFBRFMLH-XGAOUMNUSA-L
ppi,XPPKVPWEQAFLFU-UHFFFAOYSA-K
ppoh,BDERNNFJNOPAEC-UHFFFAOYSA-N
ppp9,KSFOVUSSGSKXFI-UJJXFSCMSA-L
pppg9,UHSGPDMIQQYNAX-UHFFFAOYSA-L
pppi,UNXRWKVEANCORM-UHFFFAOYSA-I
pram,SKCBPEVYGOQGJN-TXICZTDVSA-M
pran,PMFMJXPRNJUYMB-GWOFURMSSA-K
prbamp,RTQMRTSPTLIIHM-KEOHHSTQSA-J
prbatp,RKNHJBVBFHDXGR-KEOHHSTQSA-H
prenoN_acid,NA
prenoN_ated,NA
prfp,QOUSHGMTBIIAHR-KEOHHSTQSA-J
prlp,BLKFNHOCHNCLII-GHVQHMAVSA-J
pro__L,ONIBWKKTOPOVIA-BYPYZUCNSA-N
prpp,PQGCEDQWHSBAJP-TXICZTDVSA-I
ps180,TZCPCKNHXULUIY-RGULYWFUSA-M
pser__L,BZQFBWGGLXLEPQ-REOHCLBHSA-L
ptcys,QSYCTARXWYLMOF-CBAPKCEASA-M
ptrc,KIDHWZJUCRJVML-UHFFFAOYSA-P
ptth,ZNXZGRMVNNHPCA-VIFPVBQESA-N
pyam5p,ZMJGSOSNSPKHNH-UHFFFAOYSA-M
pydam,NHZMQXZHNVQTQA-UHFFFAOYSA-O
pydx,RADKZDMFGJYCBB-UHFFFAOYSA-N
pydx5p,NGVDGCNFYWLIFO-UHFFFAOYSA-L
pydxn,LXNHXLLTXMVWPM-UHFFFAOYSA-N
pyr,LCTONWCANYUPML-UHFFFAOYSA-M
q8,ICFIZJQGJAJRSU-SGHXUWJISA-N
q8,ICFIZJQGJAJRSU-SGHXUWJISA-N
quln,GJAWHXHKYYXBSV-UHFFFAOYSA-L
r1p,YXJDFQJKERBOBM-TXICZTDVSA-L
r3mmal,NPYQJIHHTGFBLN-STHAYSLISA-L
r5p,KTVPXOYAKDPRHY-AIHAYLRMSA-L
raffin,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N
rdmbzi,HLRUKOJSWOKCPP-SYQHCUMBSA-N
rhcys,IQFWYNFDWRYSRA-BLELIYKESA-N
rib__D,HMFHBZSHGGEWLO-SOOFDHNKSA-N
ribflv,AUNGANRZJHBGPY-SCRDCRAPSA-M
rmn,PNNNRSAQSRJVSB-BXKVDMCESA-N
rnam,JLEBZPBDRKPWTD-TURQNECASA-O
ru5p__D,FNZLKVNUWIIPSJ-UHNVWZDZSA-L
s17bp,OKHXOUGRECCASI-SHUUEZRQSA-J
s7p,JDTUMPKOJBQPKX-GBNDHIKLSA-L
salc6p,FSJKOMDYZYBBLV-UJPOAAIJSA-L
salcn,NGFMICBWJRZIBI-UJPOAAIJSA-N
sbt__D,FBPFZTCFMRRESA-JGWLITMVSA-N
sbt6p,GACTWZZMVMUKNG-SLPGGIOYSA-L
sbt6p,GACTWZZMVMUKNG-SLPGGIOYSA-L
sbzcoa,AVOVYFCDODUXLY-HSJNEKGZSA-I
scl,KWIZRXMMFRBUML-AHGFGAHVSA-F
ser__L,MTCFGRXMJLQNBG-REOHCLBHSA-N
sheme,DLKSSIHHLYNIKN-QIISWYHFSA-D
skm,JXOHGGNKMLTUBP-HSUXUTPPSA-M
skm5p,QYOJSKGCWNAKGW-PBXRRBTRSA-K
so3,LSNNMFCWUKXFEE-UHFFFAOYSA-L
so4,QAOWNCQODCNURD-UHFFFAOYSA-L
spmd,ATHGHQPFGPMSJY-UHFFFAOYSA-Q
srb__L,LKDRXBCSQODPBY-AMVSKUEXSA-N
stcoa,SIARJEKBADXQJG-LFZQUHGESA-J
stys,UQZIYBXSHAGNOE-XNSRJBNMSA-N
suc6p,PJTTXANTBQDXME-UGDNZRGBSA-L
sucbz,YIVWQNVQRXFZJB-UHFFFAOYSA-L
succ,KDYFGRWQOYBRFD-UHFFFAOYSA-L
succoa,VNOYUJKHFWYWIR-ITIYDSSPSA-I
suchms,GNISQJGXJIDKDJ-YFKPBYRVSA-M
sucr,CZMRCDWAGMRECN-UGDNZRGBSA-N
t3c11vaceACP,NA
t3c7mrseACP,NA
tag__D,BJHIKXHVCXFQLS-PQLUHFTBSA-N
tag6p__D,BGWGXPAPYGQALX-OEXCPVAWSA-L
tagdp__D,RNBGYGVWRKECFJ-OEXCPVAWSA-J
tartr__D,FEWJPZIEWOKRBE-LWMBPPNESA-L
tcam,NA
td2coa,MBCVYCOKMMMWLX-YYMFEJJQSA-J
tdcoa,DUAFKXOFBZQTQE-QSGBVPJFSA-J
tddec2eACP,NA
tdeACP,NA
tdec2eACP,NA
thdp,CXMBCXQHOXUCEO-BYPYZUCNSA-L
thex2eACP,NA
thf,MSTNYGQPCMXVAQ-RYUDHWBXSA-L
thfglu,ZAOGJXDWOQXFBW-FGRDXJNISA-K
thm,MYVIATVLJGTBFV-UHFFFAOYSA-M
thmmp,HZSAJDVWZRBGIF-UHFFFAOYSA-M
thmpp,AYEKOFBPNLCAJY-UHFFFAOYSA-L
thr__L,AYFVYJQAPQTCCC-GBXIJSLDSA-N
thymd,IQFYYKKMVGJFEH-XLPZGREQSA-N
tmrs2eACP,NA
toct2eACP,NA
toctd2eACP,NA
tpalm2eACP,NA
trdox,NA
trdrd,NA
tre,HDTRYLNUVZCQOY-LIZSDCNHSA-N
tre6p,LABSPYBHMPDTEL-LIZSDCNHSA-L
trnaglu,NA
trp__L,QIVBCDIJIAJPQS-VIFPVBQESA-N
tsul,DHCDFWKWKRSZHF-UHFFFAOYSA-M
ttc_ggdp,NA
ttdcea,NA
tyr__L,OUYCCCASQSFEME-QMMMGPOBSA-N
u3aga,TZSJGZGYQDNRRX-MPLCHSTDSA-L
uaaAgla,NA
uaaAgtla,NA
uaaGgla,ULXTYUPMJXVUHQ-OVTFQNCVSA-K
uaaGgtla,CALJPWOWZPDIQK-PRHZHQPTSA-L
uaagmda,OXJNZXDFVLDLEI-MBCYCBSHSA-J
uaagtmda,NA
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K
uacgam,LFTYTUAZOPRMMI-CFRASDGPSA-L
uacmam,LFTYTUAZOPRMMI-ZYQOOJPVSA-L
uaGgla,SULOOAFLXMQJSF-OGDYFQGPSA-K
uAgl,RLNOPSGEZLGFAH-BSIIKIOPSA-K
uAgla,PFMVORMCVGOQKR-XNCOKRRHSA-K
uagmda,PNWZQTONLRRPST-KLDRQJOASA-J
uama,NTMMCWJNQNKACG-KBKUWGQMSA-K
uamag,OJZCATPXPWFLHF-HPUCEMLMSA-J
uamr,NQBRVZNDBBMBLJ-MQTLHLSBSA-K
udcpdp,NTXGVHCCXVHYCL-RDQGWRCRSA-K
udcpp,UFPHFKCTOZIAFY-RDQGWRCRSA-L
udp,XCCTYIAWTASOJW-XVFCMESISA-K
udpacgal,LFTYTUAZOPRMMI-LDDHHVEYSA-L
udpg,HSCJRCZFDFQWRP-RDKQLNKOSA-L
udpgal,HSCJRCZFDFQWRP-ABVWGUQPSA-L
udpgalfur,ZQLQOXLUCGXKHS-SIAUPFDVSA-L
udpglcur,HDYANYHVCAPMJV-LXQIFKJMSA-K
uggmd,NA
uggmda,NA
ump,DJJCXFVJDGTHFX-XVFCMESISA-L
unaga,NEVJGTXBHJNFAZ-JXCMATCVSA-L
uppg3,HUHWZXWWOFSFKF-UHFFFAOYSA-F
ura,ISAKRJDGNUQOIC-UHFFFAOYSA-N
urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N
uri,DRTQHJPVMGBUCF-XVFCMESISA-N
utp,PGAVKCOVUIYSFO-XVFCMESISA-J
val__L,KZSNJWFQEVHDMF-BYPYZUCNSA-N
xan,LRFVTYWOQMYALW-UHFFFAOYSA-N
xmp,DCTLYFZHFGENCW-UUOKFMHZSA-L
xtp,CAEFEWVYEZABLA-UUOKFMHZSA-J
xtsn,UBORTCNDUKBEOP-UUOKFMHZSA-N
xu5p__D,FNZLKVNUWIIPSJ-RFZPGFLSSA-L
xyl__D,SRBFZHDQGSBBOR-IOVATXLUSA-N
xyl__D,SRBFZHDQGSBBOR-IOVATXLUSA-N
xylt,HEBKCHPVOIAQTA-SCDXWVJYSA-N
zn2,PTFCDOFLOPIGGS-UHFFFAOYSA-N
