metname,inchikey,Canonical_SMILES
cpd00201,AUFGTPPARQZWDO-YPMHNXCESA-L,C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
cpd03524,BHBZPCBOCZGPTF-UHFFFAOYSA-L,noinchikey_inpubchem
cpd15306,NA,noinchikey_inpubchem
cpd15307,NA,noinchikey_inpubchem
cpd15308,NA,noinchikey_inpubchem
cpd15309,NA,noinchikey_inpubchem
cpd15310,NA,noinchikey_inpubchem
cpd15311,NA,noinchikey_inpubchem
cpd15312,NA,noinchikey_inpubchem
cpd00203,LJQLQCAXBUHEAZ-UWTATZPHSA-J,C(C(C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-]
cpd01155,VHRGRCVQAFMJIZ-UHFFFAOYSA-P,C(CC[NH3+])CC[NH3+]
cpd15325,STTKJLVEXMKLNA-CQSZACIVSA-L,CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])O
cpd15327,NA,noinchikey_inpubchem
cpd15328,NA,noinchikey_inpubchem
cpd15329,LAYXSTYJRSVXIH-HXUWFJFHSA-L,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])O
cpd00922,GEJXSVNGWOSZPC-UHFFFAOYSA-N,C1CCN=C(C1)C(=O)O
cpd02431,DWAKNKKXGALPNW-UHFFFAOYSA-M,C1CC(N=C1)C(=O)[O-]
cpd15330,NA,noinchikey_inpubchem
cpd15331,FAZBDRGXCKPVJU-MRXNPFEDSA-L,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])O
cpd02566,INCSWYKICIYAHB-WDSKDSINSA-M,C1=CC(C(C(=C1)C(=O)[O-])O)O
cpd02120,UWOCFOFVIBZJGH-YFKPBYRVSA-L,now
cpd21488,UWOCFOFVIBZJGH-YFKPBYRVSA-L,now
cpd02498,JTEYKUFKXGDTEU-VKHMYHEASA-M,CC(C)(C(C(=O)[O-])O)O
cpd02535,PDGXJDXVGMHUIR-UJURSFKZSA-M,CCC(C)(C(C(=O)[O-])O)O
cpd02921,NAQGHJTUZRHGAC-ZZZDFHIKSA-J,C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N)C(=O)NC(CC(=O)[O-])C(=O)[O-]
cpd00957,NA,noinchikey_inpubchem
cpd01793,RXMWXENJQAINCC-DMTCNVIQSA-M,C(C(=O)C(C(C(=O)C(=O)[O-])O)O)O
cpd00340,NA,noinchikey_inpubchem
cpd15807,NA,noinchikey_inpubchem
cpd00516,GMKMEZVLHJARHF-SYDPRGILSA-N,C(CC(C(=O)O)N)CC(C(=O)O)N
cpd00504,GMKMEZVLHJARHF-WHFBIAKZSA-N,C(CC(C(=O)O)N)CC(C(=O)O)N
cpd00498,VUQLHQFKACOHNZ-LURJTMIESA-M,CCC(C(=O)C)(C(=O)[O-])O
cpd03049,RRUVJGASJONMDY-UHFFFAOYSA-L,CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)([O-])OP(=O)([O-])[O-]
cpd02920,FCQGJGLSOWZZON-UHFFFAOYSA-L,noinchikey_inpubchem
cpd00954,NA,noinchikey_inpubchem
cpd00938,DHCUIDTZCMREHG-UHFFFAOYSA-L,C1=CC(OC1=O)(CC(=O)[O-])C(=O)[O-]
cpd00956,QKMBYNRMPRKVTO-MNOVXSKESA-K,C1=CC=C(C(=C1)C(=O)[O-])NCC(=O)C(C(COP(=O)([O-])[O-])O)O
cpd02857,PJWIPEXIFFQAQZ-PUFIMZNGSA-K,C(C(C(C(COP(=O)([O-])[O-])O)O)O)C(=O)C(=O)[O-]
cpd00480,VBUYCZFBVCCYFD-JJYYJPOSSA-M,C(C(C(C(C(=O)C(=O)[O-])O)O)O)O
cpd00712,PKVVTUWHANFMQC-UHFFFAOYSA-M,CC(C)(CO)C(=O)C(=O)[O-]
cpd15352,GDUBPWSFXUAETN-AENDIINCSA-N,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C)C)C)C)C)C)C)C
cpd15353,FGYPGICSXJEKCG-AENDIINCSA-N,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C2=CC=CC=C2C(=C1)O)O)C)C)C)C)C)C)C)C
cpd00509,KBDKAJNTYKVSEK-VPENINKCSA-L,C1C(C(OC1OP(=O)([O-])[O-])CO)O
cpd00510,ALQNUOMIEBHXQG-CRCLSJGQSA-L,C(C=O)C(C(COP(=O)([O-])[O-])O)O
cpd00868,GQYBCIHRWMPOOF-YVMONPNESA-M,C1=CC(=CC=C1C=C(C(=O)[O-])O)O
cpd01553,CQRYARSYNCAZFO-UHFFFAOYSA-N,C1=CC=C(C(=C1)CO)O
cpd00524,VYEGBDHSGHXOGT-HYFGLKJPSA-N,noinchikey_inpubchem
cpd01710,NJMGRJLQRLFQQX-HYXAFXHYSA-L,CC(C)C(=CC(=O)[O-])C(=O)[O-]
cpd02124,NHNODHRSCRALBF-NQNBQJKNSA-J,CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
cpd02894,AGQJQCFEPUVXNK-UHFFFAOYSA-K,CC1=NC=C(C(=N1)N)COP(=O)([O-])OP(=O)([O-])[O-]
cpd08286,XMWHRVNVKDKBRG-UHNVWZDZSA-L,CC(CO)(C(COP(=O)([O-])[O-])O)O
cpd08301,SFRQRNJMIIUYDI-UHNVWZDZSA-L,CC1(C(COP(=O)(OP(=O)(O1)[O-])[O-])O)CO
cpd00287,VOKUMXABRRXHAR-UHFFFAOYSA-M,CC(C=O)C(=O)[O-]
cpd00094,TYEYBOSBBBHJIV-UHFFFAOYSA-M,CCC(=O)C(=O)[O-]
cpd03445,YGTMSXVYLRCOLD-MGDAWYEDSA-N,noinchikey_inpubchem
cpd03447,AFTBILPWMUSGIN-MYCGWMCTSA-N,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C)C)C
cpd03449,QURLIMHPCRKMJP-WDXILIIOSA-N,CC1=C(C(=C(C(=C1O)O)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
cpd03448,FLYBTLROCQBHMR-KFSSTAEESA-N,CC1=C(C(=O)C(=CC1=O)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
cpd03446,MYNOBJRQIKYBRD-MGHGRUFNSA-N,noinchikey_inpubchem
cpd03444,VUNQJPPPTJIREN-CMAXTTDKSA-N,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C
cpd08288,HTJXTKBIUVFUAR-XHIBXCGHSA-J,CC(CO)(C(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)([O-])[O-]
cpd00482,GXIURPTVHJPJLF-UWTATZPHSA-K,C(C(C(=O)[O-])OP(=O)([O-])[O-])O
cpd00727,ASCFNMCAHFUBCO-UHFFFAOYSA-K,C(C(=O)[O-])OP(=O)([O-])[O-]
cpd03451,QJYRAJSESKVEAE-PSASIEDQSA-L,C1=CC(C(C(=C1)C(=O)CCC(=O)[O-])C(=O)[O-])O
cpd02693,RNQHMTFBUSSBJQ-CRCLSJGQSA-L,CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
cpd01646,BITYXLXUCSKTJS-ZETCQYMHSA-L,CC(C)C(CC(=O)[O-])(C(=O)[O-])O
cpd02605,HIIZAGQWABAMRR-BYPYZUCNSA-L,CC(C)C(C(=O)C(=O)[O-])C(=O)[O-]
cpd00699,WVMWZWGZRAXUBK-SYTVJDICSA-M,C1C(C(C(=O)CC1(C(=O)[O-])O)O)O
cpd01716,SLWWJZMPHJJOPH-PHDIDXHHSA-M,C1C(C(C(=O)C=C1C(=O)[O-])O)O
cpd09844,OTEACGAEDCIMBS-NOTSHUFBSA-I,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)[O-])O)O
cpd00842,QHHKKMYHDBRONY-VKBDFPRVSA-J,CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O
cpd11478,NA,noinchikey_inpubchem
cpd15368,NA,noinchikey_inpubchem
cpd15370,NA,noinchikey_inpubchem
cpd11480,NA,noinchikey_inpubchem
cpd11482,NA,noinchikey_inpubchem
cpd03122,VAAHKRMGOFIORX-IKTBLOROSA-J,CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O
cpd11479,NA,noinchikey_inpubchem
cpd02691,PEKYNTFSOBAABV-LQUDNSJZSA-J,CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
cpd02569,DNOPJXBPONYBLB-UHFFFAOYSA-M,CC(C)(C(=O)C(=O)[O-])O
cpd00876,DBXBTMSZEOQQDU-UHFFFAOYSA-M,CC(CO)C(=O)[O-]
cpd11484,NA,noinchikey_inpubchem
cpd15371,NA,noinchikey_inpubchem
cpd11483,NA,noinchikey_inpubchem
cpd11481,NA,noinchikey_inpubchem
cpd02210,NQEQTYPJSIEPHW-MNOVXSKESA-L,C1=CC=C2C(=C1)C(=CN2)C(C(COP(=O)([O-])[O-])O)O
cpd00123,QHKABHOOEWYVLI-UHFFFAOYSA-M,CC(C)C(=O)C(=O)[O-]
cpd00508,JVQYSWDUAOAHFM-BYPYZUCNSA-M,CCC(C)C(=O)C(=O)[O-]
cpd11489,NA,noinchikey_inpubchem
cpd11487,NA,noinchikey_inpubchem
cpd03123,NFOYYXQAVVYWKV-HDRQGHTBSA-J,CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
cpd11486,NA,noinchikey_inpubchem
cpd11491,NA,noinchikey_inpubchem
cpd11490,NA,noinchikey_inpubchem
cpd11485,NA,noinchikey_inpubchem
cpd03443,UTIBHEBNILDQKX-LQOKPSQISA-M,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)[O-])O)C)C)C)C)C)C)C)C
cpd00169,OSJPPGNTCRNQQC-UWTATZPHSA-K,C(C(C(=O)[O-])O)OP(=O)([O-])[O-]
cpd02069,LFLUCDOSQPJJBE-UHFFFAOYSA-K,C(C(=O)C(=O)[O-])OP(=O)([O-])[O-]
cpd00932,QUTYKIXIUDQOLK-PRJMDXOYSA-J,C=C(C(=O)[O-])OC1CC(=CC(C1O)OP(=O)([O-])[O-])C(=O)[O-]
cpd03034,PHENTZNALBMCQD-UHFFFAOYSA-M,CC(CNC(=O)N)C(=O)[O-]
cpd00281,BTCSSZJGUNDROE-UHFFFAOYSA-N,C(CC(=O)O)CN
cpd00434,DZQLQEYLEYWJIB-UHFFFAOYSA-O,C(CC=O)C[NH3+]
cpd00443,ALYNCZNDIQEVRV-UHFFFAOYSA-M,C1=CC(=CC=C1C(=O)[O-])N
cpd08210,OIUJHGOLFKDBSU-HTQZYQBOSA-M,C=C(C(=O)[O-])OC1C=C(C=CC1[NH3+])C(=O)[O-]
cpd00939,VUTBELPREDJDDH-UHFFFAOYSA-N,CC1=NC=C(C(=N1)N)CO
cpd02775,SSWDVESQMBHOQT-UHFFFAOYSA-N,noinchikey_inpubchem
cpd08287,YFAUKWZNPVBCFF-XHIBXCGHSA-L,CC(CO)(C(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)O
cpd01042,IWDCLRJOBJJRNH-UHFFFAOYSA-N,CC1=CC=C(C=C1)O
cpd00780,GACSIVHAIFQKTC-OWOJBTEDSA-L,C(C(=O)CC(=O)[O-])C(=O)C=CC(=O)[O-]
cpd15378,BVJSUAQZOZWCKN-UHFFFAOYSA-N,C1=CC(=CC=C1CO)O
cpd00484,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C1=CC(=CC=C1C=O)O
cpd00136,FJKROLUGYXJWQN-UHFFFAOYSA-M,C1=CC(=CC=C1C(=O)[O-])O
cpd03608,JBNUARFQOCGDRK-GBXIJSLDSA-N,C(C(C(C(=O)O)N)O)O
cpd00200,BKAJNAXTPSGJCU-UHFFFAOYSA-M,CC(C)CC(=O)C(=O)[O-]
cpd02654,OCYMERZCMYJQQO-UHFFFAOYSA-L,CC1=C(SC=N1)CCOP(=O)([O-])[O-]
cpd01977,IXZNKTPIYKDIGG-REOHCLBHSA-L,C(C(C(=O)[O-])[NH3+])C(=O)OP(=O)([O-])[O-]
cpd02201,XHFVGHPGDLDEQO-ZETCQYMHSA-K,CC(C)(COP(=O)([O-])[O-])C(C(=O)NCCC(=O)[O-])O
cpd02666,XQYALQVLCNHCFT-CBAPKCEASA-K,CC(C)(COP(=O)([O-])[O-])C(C(=O)NCCC(=O)NC(CS)C(=O)[O-])O
cpd02882,XKQZIXVJVUPORE-RPDRRWSUSA-N,C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N
cpd00673,NBAKTGXDIBVZOO-UHFFFAOYSA-N,CC1CNC(=O)NC1=O
cpd00337,OIVLITBTBDPEFK-UHFFFAOYSA-N,C1CNC(=O)NC1=O
cpd02893,XFVULMDJZXYMSG-ZIYNGMLESA-L,C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N)C(=O)O
cpd00338,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,C(CC(=O)O)C(=O)CN
cpd00729,OTIAVLWNTIXJDO-UHFFFAOYSA-O,C(CC[NH3+])CC(=O)N
cpd02720,RQRINYISXYAZKL-RPDRRWSUSA-L,C(C(C(C(COP(=O)([O-])[O-])O)O)O)NC1=C(C(=O)NC(=O)N1)N
cpd00931,LZEXYCAGPMYXLX-UMMCILCDSA-L,C(C1C(C(C(O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)([O-])[O-]
cpd00339,JJMDCOVWQOJGCB-UHFFFAOYSA-N,C(CCN)CC(=O)O
cpd11310,JHLXDWGVSYMXPL-XVFCMESISA-K,C1=C(N(C=N1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)NC(=O)[O-]
cpd02197,VVIAGPKUTFNRDU-STQMWFEESA-L,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
cpd08625,LTQYPAVLAYVKTK-UHFFFAOYSA-N,C12=NC(=O)NC1(C(=O)NC(=O)N2)O
cpd09027,WHKYNCPIXMNTRQ-UHFFFAOYSA-M,C1(=NC(=O)NC1(C(=O)[O-])O)NC(=O)N
cpd00147,WUUGFSXJNOTRMR-IOSLPCCCSA-N,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
cpd00345,ZNOVTXRBGFNYRX-STQMWFEESA-L,CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
cpd02738,HVRNKDVLFAVCJF-VJANTYMQSA-J,CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-]
cpd01981,ACWASDPGAVYCNI-JKUQZMGJSA-N,CSCC(C(C(C=O)O)O)O
cpd02255,ZPEHSARSWGDCEX-UHFFFAOYSA-M,C1C=C(OC1=O)CC(=O)[O-]
cpd02904,ZMRGXEJKZPRBPJ-SYQHCUMBSA-L,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O
cpd02074,GWENQMVPLJAMAE-UHFFFAOYSA-N,C(CCN)CC(=O)C(=O)O
cpd03198,DLRVVLDZNNYCBX-ABXHMFFYSA-N,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O
cpd00284,BIRSGZKFKXLSJQ-SQOUGZDYSA-K,C(C(C(C(C(C(=O)[O-])O)O)O)O)OP(=O)([O-])[O-]
cpd00911,IJOJIVNDFQSGAB-SQOUGZDYSA-L,C(C1C(C(C(C(=O)O1)O)O)O)OP(=O)([O-])[O-]
cpd04122,LYIIBVSRGJSHAV-UHFFFAOYSA-O,C(C=O)[NH3+]
cpd00279,OJFDKHTZOUZBOS-CITAKDKDSA-J,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
cpd00029,QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-]
cpd00142,WDJHALXBUFZDSR-UHFFFAOYSA-M,CC(=O)CC(=O)[O-]
cpd11494,NA,noinchikey_inpubchem
cpd00071,IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O
cpd00022,ZSLZBFCDCINBPY-ZSJPKINUSA-J,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
cpd02552,FCVIHFVSXHOPSW-YFKPBYRVSA-K,CC(=O)NC(CCC(=O)OP(=O)([O-])[O-])C(=O)[O-]
cpd00918,BCPSFKBPHHBDAI-LURJTMIESA-M,CC(=O)NC(CCC=O)C(=O)[O-]
cpd00122,OVRNDRQMDRJTHS-RTRLPJTCSA-N,CC(=O)NC1C(C(C(OC1O)CO)O)O
cpd02611,FZLJPEPAYPUMMR-RTRLPJTCSA-L,noinchikey_inpubchem
cpd00293,BRGMHAYQAZFZDJ-RTRLPJTCSA-L,CC(=O)NC1C(C(C(OC1O)COP(=O)([O-])[O-])O)O
cpd00477,RFMMMVDNIPUKGG-YFKPBYRVSA-L,CC(=O)NC(CCC(=O)[O-])C(=O)[O-]
cpd00790,FCXZBWSIAGGPCB-YFKPBYRVSA-N,CC(=O)OCCC(C(=O)O)N
cpd00492,MBLBDJOUHNCFQT-XAMCCFCMSA-N,CC(=O)NC(C=O)C(C(C(CO)O)O)O
cpd00331,GTZCVFVGUGFEME-IWQZZHSRSA-K,C(C(=CC(=O)[O-])C(=O)[O-])C(=O)[O-]
cpd01563,GTZCVFVGUGFEME-HNQUOIGGSA-K,C(C(=CC(=O)[O-])C(=O)[O-])C(=O)[O-]
cpd08353,BRYKYSQCLNCYQW-DUXPYHPUSA-L,COC(=O)C(=CC(=O)[O-])CC(=O)[O-]
cpd00342,JRLGPAXAGHMNOL-LURJTMIESA-N,CC(=O)NC(CCCN)C(=O)O
cpd11493,NA,noinchikey_inpubchem
cpd00722,VZXPDPZARILFQX-BYPYZUCNSA-N,CC(=O)OCC(C(=O)O)N
cpd11488,NA,noinchikey_inpubchem
cpd00196,LIPOUNRJVLNBCD-UHFFFAOYSA-L,CC(=O)OP(=O)([O-])[O-]
cpd03916,OCNLJCZKGHKJGF-QOCQOLRHSA-N,noinchikey_inpubchem
cpd00128,GFFGJBXGBJISGV-UHFFFAOYSA-N,C1=NC2=NC=NC(=C2N1)N
cpd00836,ARGXEXVCHMNAQU-UHFFFAOYSA-N,CC(=O)SC(CCCCC(=O)N)CCS
cpd00182,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
cpd03918,KQXSPGAEBZWHMC-OCUXTBADSA-N,noinchikey_inpubchem
cpd03919,MQCMBMUJJHSGIF-QMUWONGRSA-K,noinchikey_inpubchem
cpd00166,ZIHHMGTYZOSFRC-QRVZQHAISA-N,noinchikey_inpubchem
cpd00008,XTWYTFMLZFPYCI-KQYNXXCUSA-K,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N
cpd00387,WFPZSXYXPSUOPY-ROYWQJLOSA-L,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OC4C(C(C(C(O4)CO)O)O)O)O)O)N
cpd00251,SRNWOUGRCWSEMX-TYASJMOZSA-L,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OCC4C(C(C(O4)O)O)O)O)O)N
cpd03920,IQTYKHRKNGVJEO-RRMAJTJESA-K,noinchikey_inpubchem
cpd00152,QYPPJABKJHAVHS-UHFFFAOYSA-P,C(CC[NH+]=C(N)N)C[NH3+]
cpd00019,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N
cpd02978,DGGUVLXVLHAAGT-XINAWCOVSA-J,C1C(=NC2=C(N1)NC(=NC2=O)N)C(C(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O
cpd02851,NOTGFIUVDGNKRI-UUOKFMHZSA-L,C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N)C(=O)N
cpd02140,PDACUKOKVHBVHJ-ZRTZXPPTSA-M,C1=C([N+](=CN1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N
cpd00024,KPGXRSRHYNQIFN-UHFFFAOYSA-L,C(CC(=O)[O-])C(=O)C(=O)[O-]
cpd00117,QNAYBMKLOCPYGJ-UWTATZPHSA-N,CC(C(=O)O)N
cpd00035,QNAYBMKLOCPYGJ-REOHCLBHSA-N,CC(C(=O)O)N
cpd00085,UCMIRNVEIXFBKS-UHFFFAOYSA-N,C(CN)C(=O)O
cpd00731,DEFJQIDDEAULHB-QWWZWVQMSA-N,CC(C(=O)NC(C)C(=O)O)N
cpd00668,NMDWGEGFJUBKLB-YFKPBYRVSA-M,CC(=O)C(C)(C(=O)[O-])O
cpd00742,AVWRKZWQTYIKIY-UHFFFAOYSA-M,C(=O)(N)NC(=O)[O-]
cpd01092,POJWUDADGALRAB-UHFFFAOYSA-N,C1(C(=O)NC(=O)N1)NC(=O)N
cpd00017,MEFKEPWMEQBLKI-AIRLBKTGSA-O,C[S+](CCC(C(=O)O)N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
cpd00837,ZUNBITIXDCPNSD-LSRJEVITSA-O,C[S+](CCC[NH3+])CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
cpd00018,UDMBCSSLTHHNCD-KQYNXXCUSA-L,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O)N
cpd15396,NA,noinchikey_inpubchem
cpd15397,ZWZMFRJKRXDGBE-UHFFFAOYSA-L,noinchikey_inpubchem
